#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
10024_at	YLR309C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR309C similarity to human centromere protein E	YLR309C	Protein involved in vesicular transport; mediates transport between an endosomal compartment and the Golgi, contains a Golgi-localization (GRIP) domain that interacts with activated Arl1p-GTP to localize Imh1p to the Golgi	IMH1	851018	NM_001182197	S000004300	0000042 // protein targeting to Golgi // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0006950 // response to stress // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0016192 // vesicle-mediated transport // inferred from mutant phenotype /// 0043001 // Golgi to plasma membrane protein transport // inferred from mutant phenotype	0000139 // Golgi membrane // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005829 // cytosol // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation	0005515 // protein binding // inferred from physical interaction
10025_at	YLR310C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR310C regulatory protein of adenylate cyclase	YLR310C	Membrane bound guanine nucleotide exchange factor; indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1; a membrane bound guanine nucleotide exchange factor is also known as a GEF or GDP-release factor	CDC25	851019	NM_001182198	S000004301	0001302 // replicative cell aging // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitotic nuclear division // inferred from electronic annotation /// 0007089 // traversing start control point of mitotic cell cycle // inferred from mutant phenotype /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0007265 // Ras protein signal transduction // inferred from mutant phenotype /// 0032320 // positive regulation of Ras GTPase activity // inferred from direct assay /// 0043087 // regulation of GTPase activity // inferred from electronic annotation /// 0043547 // positive regulation of GTPase activity // inferred from electronic annotation /// 0051056 // regulation of small GTPase mediated signal transduction // inferred from electronic annotation /// 0051301 // cell division // inferred from electronic annotation /// 0051726 // regulation of cell cycle // inferred from mutant phenotype	0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005789 // endoplasmic reticulum membrane // inferred from direct assay /// 0005829 // cytosol // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	0005085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005088 // Ras guanyl-nucleotide exchange factor activity // inferred from direct assay /// 0005088 // Ras guanyl-nucleotide exchange factor activity // inferred from mutant phenotype /// 0005515 // protein binding // inferred from physical interaction
10026_at	YLR311C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR311C weak similarity to S.tarentolae cryptogene protein G4	YLR311C							0016021 // integral component of membrane //	
10027_at	YLR312C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR312C hypothetical protein	YLR312C	Putative protein of unknown function	YLR312C	851021	NM_001182200	S000004303		0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	
10028_at	YLR313C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR313C homologous to Spa2p, localizes to sites of polarized growth	YLR313C	Protein involved in shmoo formation and bipolar bud site selection; localizes to sites of polarized growth in a cell cycle dependent- and Spa2p-dependent manner, interacts with MAPKKs Mkk1p, Mkk2p, and Ste7p; SPH1 has a paralog, SPA2, that arose from the whole genome duplication	SPH1	851023	NM_001182202	S000004305	0000746 // conjugation // inferred from electronic annotation /// 0007121 // bipolar cellular bud site selection // inferred from mutant phenotype /// 0007124 // pseudohyphal growth // inferred from mutant phenotype /// 0008360 // regulation of cell shape // inferred from electronic annotation /// 0031382 // mating projection assembly // inferred from genetic interaction /// 0036267 // invasive filamentous growth // inferred from genetic interaction	0000131 // incipient cellular bud site // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005934 // cellular bud tip // inferred from direct assay /// 0005934 // cellular bud tip // inferred from electronic annotation /// 0005935 // cellular bud neck // inferred from direct assay /// 0005935 // cellular bud neck // inferred from electronic annotation /// 0005937 // mating projection // inferred from direct assay	0003779 // actin binding // inferred from electronic annotation
10029_at	YLR314C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR314C Component of 10 nm filaments of mother-bud neck	YLR314C	Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble with other septins into rod-like complexes that can associate with other rods to form filament polymers; septin rings at the mother-bud neck act as scaffolds for recruiting factors needed for cell division and as barriers to prevent diffusion of specific proteins between mother and daughter cells	CDC3	851024	NM_001182203	S000004306	0000281 // mitotic cytokinesis // inferred from direct assay /// 0000921 // septin ring assembly // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0030011 // maintenance of cell polarity // inferred by curator /// 0031107 // septin ring disassembly // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation	0000144 // cellular bud neck septin ring // inferred from direct assay /// 0001400 // mating projection base // inferred from direct assay /// 0005619 // ascospore wall // inferred from direct assay /// 0005628 // prospore membrane // inferred from direct assay /// 0005935 // cellular bud neck // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0031105 // septin complex // inferred from direct assay /// 0031105 // septin complex // inferred from electronic annotation /// 0031105 // septin complex // inferred from physical interaction /// 0032160 // septin filament array // inferred from direct assay	0000166 // nucleotide binding // inferred from electronic annotation /// 0005198 // structural molecule activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from direct assay /// 0005525 // GTP binding // inferred from electronic annotation /// 0005545 // 1-phosphatidylinositol binding // inferred from direct assay
10030_at	YLR315W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR315W weak similarity to rat apolipoprotein A-IV	YLR315W	Central kinetochore protein and subunit of the Ctf19 complex; mutants have elevated rates of chromosome loss; orthologous to fission yeast kinetochore protein cnl2	NKP2	851025	NM_001182204	S000004307	0007049 // cell cycle // inferred from electronic annotation /// 0007059 // chromosome segregation // inferred from mutant phenotype /// 0007067 // mitotic nuclear division // inferred from electronic annotation /// 0007126 // meiotic nuclear division // inferred from electronic annotation /// 0051301 // cell division // inferred from electronic annotation	0000775 // chromosome, centromeric region // inferred from electronic annotation /// 0000776 // kinetochore // inferred from direct assay /// 0000776 // kinetochore // inferred from electronic annotation /// 0000777 // condensed chromosome kinetochore // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation /// 0005816 // spindle pole body // inferred from direct assay	0005515 // protein binding // inferred from physical interaction
10031_at	YLR316C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR316C weak similarity to H.influenzae hypothetical protein HI0906	YLR316C	Subunit of tRNA-specific adenosine-34 deaminase; forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRNAs	TAD3	851027	NM_001182205	S000004308	0006400 // tRNA modification // inferred from direct assay /// 0008033 // tRNA processing // inferred from electronic annotation	0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay	0003824 // catalytic activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008251 // tRNA-specific adenosine deaminase activity // inferred from direct assay /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
10032_at	YLR274W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR274W Member of complex that acts at ARS's to initiate replication	YLR274W	Component of the Mcm2-7 hexameric helicase complex; MCM complex is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase	MCM5	850980	NM_001182161	S000004264	0000084 // mitotic S phase // inferred from genetic interaction /// 0000727 // double-strand break repair via break-induced replication // inferred from mutant phenotype /// 0006200 // ATP catabolic process // inferred from direct assay /// 0006260 // DNA replication // inferred from electronic annotation /// 0006267 // pre-replicative complex assembly involved in nuclear cell cycle DNA replication // inferred from direct assay /// 0006267 // pre-replicative complex assembly involved in nuclear cell cycle DNA replication // inferred from physical interaction /// 0006270 // DNA replication initiation // inferred from electronic annotation /// 0006270 // DNA replication initiation // inferred from mutant phenotype /// 0006343 // establishment of chromatin silencing // inferred from mutant phenotype /// 0006348 // chromatin silencing at telomere // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0030174 // regulation of DNA-dependent DNA replication initiation // inferred from mutant phenotype /// 0031939 // negative regulation of chromatin silencing at telomere // inferred from mutant phenotype /// 0032508 // DNA duplex unwinding // inferred from electronic annotation /// 0033260 // nuclear cell cycle DNA replication // inferred from mutant phenotype	0000784 // nuclear chromosome, telomeric region // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005654 // nucleoplasm // traceable author statement /// 0005656 // nuclear pre-replicative complex // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0031261 // DNA replication preinitiation complex // inferred from physical interaction /// 0031298 // replication fork protection complex // inferred from direct assay /// 0042555 // MCM complex // inferred from direct assay /// 0042555 // MCM complex // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003678 // DNA helicase activity // inferred from direct assay /// 0003678 // DNA helicase activity // inferred from electronic annotation /// 0003682 // chromatin binding // inferred from direct assay /// 0003688 // DNA replication origin binding // inferred from direct assay /// 0003697 // single-stranded DNA binding // inferred from mutant phenotype /// 0004386 // helicase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation /// 0017116 // single-stranded DNA-dependent ATP-dependent DNA helicase activity // inferred from direct assay
10033_at	YLR275W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YLR275W U1 snRNP protein of the Sm class	YLR275W	Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2	SMD2	850981	NM_001182162	S000004265	0000398 // mRNA splicing, via spliceosome // inferred from physical interaction /// 0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation	0005634 // nucleus // inferred from electronic annotation /// 0005682 // U5 snRNP // inferred from direct assay /// 0005685 // U1 snRNP // inferred from direct assay /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation /// 0030532 // small nuclear ribonucleoprotein complex // inferred from electronic annotation /// 0046540 // U4/U6 x U5 tri-snRNP complex // inferred from direct assay /// 0071004 // U2-type prespliceosome // inferred from direct assay	0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
